"","fulltaxa","station_km","Sample_date","KO","N","counts","sd","se","ci"
"1","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K00281",112,0.000428807070218178,8.54065754498186e-05,8.07016282035337e-06,1.59915663689941e-05
"2","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01591",112,0.00033985185747345,7.82941622937815e-05,7.39810294776701e-06,1.46598348667129e-05
"3","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01609",112,0.000326696226432715,5.19588625464768e-05,4.90965102513449e-06,9.72880126024522e-06
"4","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01652",100,0.000307051721399382,8.55604315718397e-05,8.55604315718398e-06,1.69770458709894e-05
"5","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01673",70,0.000237245618176548,0.000118583978594814,1.41734963825219e-05,2.82753516243511e-05
"6","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K04517",84,0.00047808620850295,0.000168746330317461,1.84117340934711e-05,3.66201985951938e-05
"7","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K00281",112,0.000232931629913504,0.000233980125702987,2.21090437264905e-05,4.3810546079129e-05
"8","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01591",112,0.00118317421937637,0.0011896549754801,0.000112411828967535,0.000222751543384057
"9","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01609",112,0,0,0,0
"10","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01652",100,0.000216871591355179,0.000218561913217243,2.18561913217243e-05,4.33674253176812e-05
"11","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01673",70,0.000109437250996016,0.00011022742191432,1.31746968205168e-05,2.6282801017518e-05
"12","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K04517",84,0,0,0,0
"13","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K00281",112,0.000338901950640777,3.04517839933593e-05,2.87742312231022e-06,5.7018060052086e-06
"14","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K01591",112,4.83305053999502e-05,4.78343732375531e-05,4.51992341811461e-06,8.95652998986026e-06
"15","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K01609",112,0.000185158862876254,1.59996809439151e-05,1.51182774407066e-06,2.99578760007397e-06
"16","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K01652",100,0.000298157319713648,7.95548324194627e-05,7.95548324194627e-06,1.57854047067314e-05
"17","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K01673",70,0.000167654431797062,5.63717190012664e-05,6.73770913076728e-06,1.34413619387504e-05
"18","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K04517",84,0.000255270260357705,9.86646286164912e-05,1.07651935488042e-05,2.14115369943727e-05
"19","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"May 22","K00281",56,0.000818523909332712,1.6095701873685e-06,2.1508786361066e-07,4.3104571101775e-07
"20","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"May 22","K01591",56,0,0,0,0
"21","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"May 22","K01609",56,0,0,0,0
"22","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"May 22","K01652",50,0,0,0,0
"23","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"May 22","K01673",35,0,0,0,0
"24","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"May 22","K04517",42,0,0,0,0
"25","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"Nov 22","K00281",112,0,0,0,0
"26","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"Nov 22","K01591",112,0,0,0,0
"27","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"Nov 22","K01609",112,0,0,0,0
"28","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"Nov 22","K01652",100,0,0,0,0
"29","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"Nov 22","K01673",70,0,0,0,0
"30","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",651,"Nov 22","K04517",84,0,0,0,0
"31","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Jun 22","K00281",56,0.000277567315291001,1.16983161302429e-06,1.56325324862643e-07,3.1328295178696e-07
"32","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",665,"Jun 22","K01591",56,0,0,0,0
