AccessionNumber_TBDSven;Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;Sat_O2_TBDHereon;Temperature_TBDHereon;Salinity_TBDHereon;Turbidity_TBDHereon;pH_TBDHereon;O2_TBDHereon;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;Silicate_mg.L;Ammonium_mg.L;Nitrite_mg.L;Nitrate_mg.L;Total_DIN_µM;SRP_mgperL;TotalDissolvedPhosphate_mg.L;Ammonium_µM;Nitrite_µM;Nitrate_µM;SRP_µM;Phosphate_µM;Silicate_µM;DOC_uM.L;DIC_uM.L;RespirationRate_O2ug.L.h;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber
SAMEA110290250;ML1;1;80;Mühlenberger Loch;2;633,022;Light_fraction;Mai 21;59,37;11,38;0,42;19.48;7,96;202,41;5,5;86,575;23,125;23,535;;10,358;1,574;95,09;107,02;NA;;10,358;1,574;95,09;NA;0,65;8,345;7,208,156,061;1,959,502,777;;1,951,015,827;2,494,001,108;3,260,857,354;0,78551216;SAMEA110290250;ERS12387858
SAMEA110290251;ML2;2;153;Mühlenberger Loch;2;633,022;Light_fraction;Mai 21;59,37;11,38;0,42;19.48;7,96;202,41;5,5;86,575;23,125;23,535;;10,358;1,574;95,09;107,02;NA;;10,358;1,574;95,09;NA;0,65;8,345;7,208,156,061;1,959,502,777;;191,664,967;2,383,047,515;2,545,059,398;0,68732314;SAMEA110290251;ERS12387859
SAMEA110290252;MH1;3;77;Mühlenberger Loch;2;633,022;Heavy_fraction;Mai 21;59,37;11,38;0,42;19.48;7,96;202,41;7,333,333,333;86,575;23,125;23,535;;10,358;1,574;95,09;107,02;NA;;10,358;1,574;95,09;NA;0,65;8,345;7,208,156,061;1,959,502,777;;2,718,853,964;3,168,559,675;1,291,185,613;0,68732314;SAMEA110290252;ERS12387860
SAMEA110290253;MH2;4;200;Mühlenberger Loch;2;633,022;Heavy_fraction;Mai 21;59,37;11,38;0,42;19.48;7,96;202,41;7,333,333,333;86,575;23,125;23,535;;10,358;1,574;95,09;107,02;NA;;10,358;1,574;95,09;NA;0,65;8,345;7,208,156,061;1,959,502,777;;2,661,904,332;3,277,549,488;3,012,439,134;0,88370118;SAMEA110290253;ERS12387861
SAMEA110290254;MF1;5;0,216;Mühlenberger Loch;2;633,022;Free_living;Mai 21;59,37;11,38;0,42;19.48;7,96;202,41;29,75;86,575;23,125;23,535;;10,358;1,574;95,09;107,02;NA;;10,358;1,574;95,09;NA;0,65;8,345;7,208,156,061;1,959,502,777;;;;;;SAMEA110290254;ERS12387862
SAMEA110290255;MF2;6;18;Mühlenberger Loch;2;633,022;Free_living;Mai 21;59,37;11,38;0,42;19.48;7,96;202,41;29,75;86,575;23,125;23,535;;10,358;1,574;95,09;107,02;NA;;10,358;1,574;95,09;NA;0,65;8,345;7,208,156,061;1,959,502,777;;;;;;SAMEA110290255;ERS12387863
SAMEA110290256;SchL1;7;157;Schwarztonnensand;4;665,546;Light_fraction;Mai 21;74,7;10,51;0,72;270;7,92;259,96;5,516,666,667;64,745;16,775;17,315;;0,118;0,05;137,3;137,47;NA;;0,118;0,05;137,3;NA;1,25;36,712;5,390,610,039;1,441,631,212;;1,811,783,797;2,405,729,179;4,285,950,723;520,401,806;SAMEA110290256;ERS12387864
SAMEA110290257;SchL2;8;111;Schwarztonnensand;4;665,546;Light_fraction;Mai 21;74,7;10,51;0,72;270;7,92;259,96;5,516,666,667;64,745;16,775;17,315;;0,118;0,05;137,3;137,47;NA;;0,118;0,05;137,3;NA;1,25;36,712;5,390,610,039;1,441,631,212;;2,756,853,115;3,047,198,047;3,793,041,843;726,598,748;SAMEA110290257;ERS12387865
SAMEA110290258;SchH1;9;85;Schwarztonnensand;4;665,546;Heavy_fraction;Mai 21;74,7;10,51;0,72;270;7,92;259,96;8,816,666,667;64,745;16,775;17,315;;0,118;0,05;137,3;137,47;NA;;0,118;0,05;137,3;NA;1,25;36,712;5,390,610,039;1,441,631,212;;287,850,931;392,451,694;4,688,525,705;112,917,373;SAMEA110290258;ERS12387866
SAMEA110290259;SchH2;10;200;Schwarztonnensand;4;665,546;Heavy_fraction;Mai 21;74,7;10,51;0,72;270;7,92;259,96;8,816,666,667;64,745;16,775;17,315;;0,118;0,05;137,3;137,47;NA;;0,118;0,05;137,3;NA;1,25;36,712;5,390,610,039;1,441,631,212;;2,609,962,341;3,084,411,685;4,382,175,963;814,968,866;SAMEA110290259;ERS12387867
SAMEA110290260;SchF1;11;0,843;Schwarztonnensand;4;665,546;Free_living;Mai 21;74,7;10,51;0,72;270;7,92;259,96;443,9;64,745;16,775;17,315;;0,118;0,05;137,3;137,47;NA;;0,118;0,05;137,3;NA;1,25;36,712;5,390,610,039;1,441,631,212;;;;;;SAMEA110290260;ERS12387868
SAMEA110290261;SchF2;12;1,48;Schwarztonnensand;4;665,546;Free_living;Mai 21;74,7;10,51;0,72;270;7,92;259,96;443,9;64,745;16,775;17,315;;0,118;0,05;137,3;137,47;NA;;0,118;0,05;137,3;NA;1,25;36,712;5,390,610,039;1,441,631,212;;;;;;SAMEA110290261;ERS12387869
SAMEA110290262;MGL1;13;15;Meedem Grund;6;711,515;Light_fraction;Mai 21;81,69;10,43;10,37;47.83;8,04;287,22;1,286,666,667;71,965;18,495;19,98;;3,4;0,357;86,86;90,62;NA;;3,4;0,357;86,86;NA;1,057;39,859;5,991,740,698;1,663,516,698;;1,959,852,839;2,467,490,073;3,361,992,045;127,645,726;SAMEA110290262;ERS12387870
SAMEA110290263;MGL2;14;23;Meedem Grund;6;711,515;Light_fraction;Mai 21;81,69;10,43;10,37;47.83;8,04;287,22;1,286,666,667;71,965;18,495;19,98;;3,4;0,357;86,86;90,62;NA;;3,4;0,357;86,86;NA;1,057;39,859;5,991,740,698;1,663,516,698;;1,951,015,827;2,705,107,501;2,463,562,512;108,007,922;SAMEA110290263;ERS12387871
SAMEA110290264;MGH1;15;109;Meedem Grund;6;711,515;Heavy_fraction;Mai 21;81,69;10,43;10,37;47.83;8,04;287,22;1,633,333,333;71,965;18,495;19,98;;3,4;0,357;86,86;90,62;NA;;3,4;0,357;86,86;NA;1,057;39,859;5,991,740,698;1,663,516,698;;2,745,364,999;348,374,643;3,179,360,468;127,645,726;SAMEA110290264;ERS12387872
SAMEA110290265;MGH2;16;34;Meedem Grund;6;711,515;Heavy_fraction;Mai 21;81,69;10,43;10,37;47.83;8,04;287,22;1,633,333,333;71,965;18,495;19,98;;3,4;0,357;86,86;90,62;NA;;3,4;0,357;86,86;NA;1,057;39,859;5,991,740,698;1,663,516,698;;2,974,145,416;2,205,325,389;3,195,070,711;0,9818902;SAMEA110290265;ERS12387873
SAMEA110290266;MGF1;17;3,34;Meedem Grund;6;711,515;Free_living;Mai 21;81,69;10,43;10,37;47.83;8,04;287,22;76,62;71,965;18,495;19,98;;3,4;0,357;86,86;90,62;NA;;3,4;0,357;86,86;NA;1,057;39,859;5,991,740,698;1,663,516,698;;;;;;SAMEA110290266;ERS12387874
SAMEA110290267;MGF2;18;2,02;Meedem Grund;6;711,515;Free_living;Mai 21;81,69;10,43;10,37;47.83;8,04;287,22;76,62;71,965;18,495;19,98;;3,4;0,357;86,86;90,62;NA;;3,4;0,357;86,86;NA;1,057;39,859;5,991,740,698;1,663,516,698;;;;;;SAMEA110290267;ERS12387875
SAMEA110290268;BHL1;20;200;BunthausSpitze;1;608,165;Light_fraction;Mai 21;94,12;10,35;0,43;17.6;NA;328,82;7,766,666,667;8,884;48,735;19,82;;0,105;0,241;41,28;41,62;NA;;0,105;0,241;41,28;NA;0;-0,57;7,396,737,909;1,650,195,243;;;;;;SAMEA110290268;ERS12387876
SAMEA110290269;BHL2;21;200;BunthausSpitze;1;608,165;Light_fraction;Mai 21;94,12;10,35;0,43;17.6;NA;328,82;7,766,666,667;8,884;48,735;19,82;;0,105;0,241;41,28;41,62;NA;;0,105;0,241;41,28;NA;0;-0,57;7,396,737,909;1,650,195,243;;;;;;SAMEA110290269;ERS12387877
SAMEA110290270;BHH1;22;200;BunthausSpitze;1;608,165;Heavy_fraction;Mai 21;94,12;10,35;0,43;17.6;NA;328,82;8,3;8,884;48,735;19,82;;0,105;0,241;41,28;41,62;NA;;0,105;0,241;41,28;NA;0;-0,57;7,396,737,909;1,650,195,243;;;;;;SAMEA110290270;ERS12387878
SAMEA110290271;BHH2;23;200;BunthausSpitze;1;608,165;Heavy_fraction;Mai 21;94,12;10,35;0,43;17.6;NA;328,82;8,3;8,884;48,735;19,82;;0,105;0,241;41,28;41,62;NA;;0,105;0,241;41,28;NA;0;-0,57;7,396,737,909;1,650,195,243;;;;;;SAMEA110290271;ERS12387879
SAMEA110290272;BHF1;24;100;BunthausSpitze;1;608,165;Free_living;Mai 21;94,12;10,35;0,43;17.6;NA;328,82;34,03;8,884;48,735;19,82;;0,105;0,241;41,28;41,62;NA;;0,105;0,241;41,28;NA;0;-0,57;7,396,737,909;1,650,195,243;;;;;;SAMEA110290272;ERS12387880
SAMEA110290273;BHF2;25;109;BunthausSpitze;1;608,165;Free_living;Mai 21;94,12;10,35;0,43;17.6;NA;328,82;34,03;8,884;48,735;19,82;;0,105;0,241;41,28;41,62;NA;;0,105;0,241;41,28;NA;0;-0,57;7,396,737,909;1,650,195,243;;;;;;SAMEA110290273;ERS12387881
SAMEA110290274;TL1;26;72;Twielenfleth;3;651,955;Light_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;1,976,666,667;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;6,891,887,314;1,215,776,446;4,192,671,154;29,456,706;SAMEA110290274;ERS12387882
SAMEA110290275;TL2;27;26;Twielenfleth;3;651,955;Light_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;1,976,666,667;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;5,827,518,337;1,044,632,984;451,767,681;274,929,256;SAMEA110290275;ERS12387883
SAMEA110290276;TH1;28;18;Twielenfleth;3;651,955;Heavy_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;13,3;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;5,827,518,337;7,160,925,229;3,770,458,368;216,015,844;SAMEA110290276;ERS12387884
SAMEA110290277;TH2;29;200;Twielenfleth;3;651,955;Heavy_fraction;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;13,3;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;5,879,558,518;7,114,776,389;2,480,254,645;225,834,746;SAMEA110290277;ERS12387885
SAMEA110290278;TF1;30;2,04;Twielenfleth;3;651,955;Free_living;Mai 21;66,33;10,87;0,47;102.68;7,79;229,39;326,4;88,185;22,505;28,025;;0,301;0,114;96,88;97,29;NA;;0,301;0,114;96,88;NA;0,871;16,421;7,342,203,202;2,333,336,109;;;;;;SAMEA110290278;ERS12387886
