Sample;Associatednumber;DNA_concentration_ng.uL;Station;StationNumber;Stromkilometer;Sample_type;Sample_date;SPM_mgperL;DOC_mg.L;TN_mg.L;DIC_mg.L;DOC_uM.L;DIC_uM.L;POC_mgperL;PTC_mgperL;PTN_mgperL;PTH_mgperL;BioSample;ERANumber;ProjectID
ML1;1;80;Muehlenberger Loch;2;633,022;Light_fraction;May-21;5,5;86,575;23,125;23,535;7,208,156,061;1,959,502,777;1,951,015,827;2,494,001,108;3,260,857,354;0,78551216;SAMEA110290250;ERS12387858;GROS22.1
ML2;2;153;Muehlenberger Loch;2;633,022;Light_fraction;May-21;5,5;86,575;23,125;23,535;7,208,156,061;1,959,502,777;191,664,967;2,383,047,515;2,545,059,398;0,68732314;SAMEA110290251;ERS12387859;GROS22.1
MH1;3;77;Muehlenberger Loch;2;633,022;Heavy_fraction;May-21;7,333,333,333;86,575;23,125;23,535;7,208,156,061;1,959,502,777;2,718,853,964;3,168,559,675;1,291,185,613;0,68732314;SAMEA110290252;ERS12387860;GROS22.1
MH2;4;200;Muehlenberger Loch;2;633,022;Heavy_fraction;May-21;7,333,333,333;86,575;23,125;23,535;7,208,156,061;1,959,502,777;2,661,904,332;3,277,549,488;3,012,439,134;0,88370118;SAMEA110290253;ERS12387861;GROS22.1
MF1;5;0,216;Muehlenberger Loch;2;633,022;Free_living;May-21;29,75;86,575;23,125;23,535;7,208,156,061;1,959,502,777;;;;;SAMEA110290254;ERS12387862;GROS22.1
MF2;6;18;Muehlenberger Loch;2;633,022;Free_living;May-21;29,75;86,575;23,125;23,535;7,208,156,061;1,959,502,777;;;;;SAMEA110290255;ERS12387863;GROS22.1
SchL1;7;157;Schwarztonnensand;4;665,546;Light_fraction;May-21;5,516,666,667;64,745;16,775;17,315;5,390,610,039;1,441,631,212;1,811,783,797;2,405,729,179;4,285,950,723;520,401,806;SAMEA110290256;ERS12387864;GROS22.1
SchL2;8;111;Schwarztonnensand;4;665,546;Light_fraction;May-21;5,516,666,667;64,745;16,775;17,315;5,390,610,039;1,441,631,212;2,756,853,115;3,047,198,047;3,793,041,843;726,598,748;SAMEA110290257;ERS12387865;GROS22.1
SchH1;9;85;Schwarztonnensand;4;665,546;Heavy_fraction;May-21;8,816,666,667;64,745;16,775;17,315;5,390,610,039;1,441,631,212;287,850,931;392,451,694;4,688,525,705;112,917,373;SAMEA110290258;ERS12387866;GROS22.1
SchH2;10;200;Schwarztonnensand;4;665,546;Heavy_fraction;May-21;8,816,666,667;64,745;16,775;17,315;5,390,610,039;1,441,631,212;2,609,962,341;3,084,411,685;4,382,175,963;814,968,866;SAMEA110290259;ERS12387867;GROS22.1
SchF1;11;0,843;Schwarztonnensand;4;665,546;Free_living;May-21;443,9;64,745;16,775;17,315;5,390,610,039;1,441,631,212;;;;;SAMEA110290260;ERS12387868;GROS22.1
SchF2;12;1,48;Schwarztonnensand;4;665,546;Free_living;May-21;443,9;64,745;16,775;17,315;5,390,610,039;1,441,631,212;;;;;SAMEA110290261;ERS12387869;GROS22.1
MGL1;13;15;Meedem Grund;6;711,515;Light_fraction;May-21;1,286,666,667;71,965;18,495;19,98;5,991,740,698;1,663,516,698;1,959,852,839;2,467,490,073;3,361,992,045;127,645,726;SAMEA110290262;ERS12387870;GROS22.1
MGL2;14;23;Meedem Grund;6;711,515;Light_fraction;May-21;1,286,666,667;71,965;18,495;19,98;5,991,740,698;1,663,516,698;1,951,015,827;2,705,107,501;2,463,562,512;108,007,922;SAMEA110290263;ERS12387871;GROS22.1
MGH1;15;109;Meedem Grund;6;711,515;Heavy_fraction;May-21;1,633,333,333;71,965;18,495;19,98;5,991,740,698;1,663,516,698;2,745,364,999;348,374,643;3,179,360,468;127,645,726;SAMEA110290264;ERS12387872;GROS22.1
MGH2;16;34;Meedem Grund;6;711,515;Heavy_fraction;May-21;1,633,333,333;71,965;18,495;19,98;5,991,740,698;1,663,516,698;2,974,145,416;2,205,325,389;3,195,070,711;0,9818902;SAMEA110290265;ERS12387873;GROS22.1
MGF1;17;3,34;Meedem Grund;6;711,515;Free_living;May-21;76,62;71,965;18,495;19,98;5,991,740,698;1,663,516,698;;;;;SAMEA110290266;ERS12387874;GROS22.1
MGF2;18;2,02;Meedem Grund;6;711,515;Free_living;May-21;76,62;71,965;18,495;19,98;5,991,740,698;1,663,516,698;;;;;SAMEA110290267;ERS12387875;GROS22.1
BHL1;20;200;BunthausSpitze;1;608,165;Light_fraction;May-21;7,766,666,667;8,884;48,735;19,82;7,396,737,909;1,650,195,243;;;;;SAMEA110290268;ERS12387876;GROS22.1
BHL2;21;200;BunthausSpitze;1;608,165;Light_fraction;May-21;7,766,666,667;8,884;48,735;19,82;7,396,737,909;1,650,195,243;;;;;SAMEA110290269;ERS12387877;GROS22.1
