"","fulltaxa","station_km","Sample_date","KO","N","counts","sd","se","ci"
"13","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K00027",112,0.000360905934978723,2.4851461736821e-05,2.34824240971663e-06,4.65319909664794e-06
"14","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K00052",84,0.000660098491391641,2.355431360746e-05,2.56998631068842e-06,5.11159940756002e-06
"15","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01585",36,0.000213388463982297,7.42729536748286e-05,1.23788256124714e-05,2.51303520183067e-05
"16","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01609",112,0.000326696226432715,5.19588625464768e-05,4.90965102513449e-06,9.72880126024522e-06
"17","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01616",24,0.000578905311863032,0.000136534558011147,2.7869999948645e-05,5.76534874961429e-05
"18","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K01652",100,0.000307051721399382,8.55604315718397e-05,8.55604315718397e-06,1.69770458709894e-05
"19","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K02548",110,0.000167740015038806,2.03577202049348e-05,1.94103246177345e-06,3.84706323575814e-06
"20","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"May 22","K13745",46,8.96334783637455e-05,9.92248112117248e-06,1.46299002641571e-06,2.94661317010275e-06
"21","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K00027",112,6.1029118468289e-05,6.13034080232074e-05,5.7926275767903e-06,1.1478478242283e-05
"22","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K00052",84,9.8908338038773e-05,9.95023874522401e-05,1.08566005316361e-05,2.15933418068524e-05
"23","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01585",36,0,0,0,0
"24","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01609",112,0,0,0,0
"25","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01616",24,0.000448042104258084,0.000396850789122879,8.10068281143251e-05,0.000167575391474606
"26","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K01652",100,0.000216871591355179,0.000218561913217243,2.18561913217243e-05,4.33674253176812e-05
"27","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K02548",110,0,0,0,0
"28","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Jun 22","K13745",46,0,0,0,0
"29","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K00027",112,0.000150716311988973,2.85823537660527e-05,2.70077856963735e-06,5.35177303181367e-06
"30","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K00052",84,0.000996169166109464,0.000182159743778986,1.98752574866896e-05,3.9531087761651e-05
"31","Bacteria__Actinobacteriota__Actinomycetia__Nanopelagicales__Nanopelagicaceae__Planktophila____",633,"Nov 22","K01585",36,7.13403335392215e-05,7.23523037093095e-05,1.20587172848849e-05,2.44804975645743e-05
